ids,recommendations,pictures,id
"[26, 1, 34148, 34161, 34176, 34177, 34209, 34213, 34257, 34262]","['Texhnolyze', 'Cowboy Bebop', 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'THE IDOLM@STER CINDERELLA GIRLS Theater', 'The Royal Tutor']","['https://cdn.myanimelist.net/images/anime/1027/131977l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg', 'https://cdn.myanimelist.net/images/anime/11/85517l.jpg']",26
"[1, 34104, 34148, 34161, 34176, 34177, 34209, 34213, 34102, 34257]","['Cowboy Bebop', ""Knight's & Magic"", 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'Sagrada Reset', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1472/93813l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/5/87743l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",27
"[1, 34104, 34148, 34161, 34176, 34177, 34209, 34213, 34102, 34257]","['Cowboy Bebop', ""Knight's & Magic"", 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'Sagrada Reset', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1472/93813l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/5/87743l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",28
"[1, 34104, 34148, 34161, 34176, 34177, 34209, 34213, 34102, 34257]","['Cowboy Bebop', ""Knight's & Magic"", 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'Sagrada Reset', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1472/93813l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/5/87743l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",29
"[30, 2759, 31, 437, 43, 1, 1033, 47, 22135, 5]","['Neon Genesis Evangelion', 'Evangelion: 1.0 You Are (Not) Alone', 'Neon Genesis Evangelion: Death & Rebirth', 'Perfect Blue', 'Ghost in the Shell', 'Cowboy Bebop', 'Millennium Actress', 'Akira', 'Ping Pong the Animation', 'Cowboy Bebop: The Movie']","['https://cdn.myanimelist.net/images/anime/1314/108941l.jpg', 'https://cdn.myanimelist.net/images/anime/7/74975l.jpg', 'https://cdn.myanimelist.net/images/anime/1993/113122l.jpg', 'https://cdn.myanimelist.net/images/anime/1254/134212l.jpg', 'https://cdn.myanimelist.net/images/anime/10/82594l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1648/93626l.jpg', 'https://cdn.myanimelist.net/images/anime/1408/114012l.jpg', 'https://cdn.myanimelist.net/images/anime/10/58041l.jpg', 'https://cdn.myanimelist.net/images/anime/1439/93480l.jpg']",30
"[31, 2759, 30, 10087, 50265, 37521, 9756, 15809, 199, 32182]","['Neon Genesis Evangelion: Death & Rebirth', 'Evangelion: 1.0 You Are (Not) Alone', 'Neon Genesis Evangelion', 'Fate/Zero', 'Spy x Family', 'Vinland Saga', 'Puella Magi Madoka Magica', 'The Devil is a Part-Timer!', 'Spirited Away', 'Mob Psycho 100']","['https://cdn.myanimelist.net/images/anime/1993/113122l.jpg', 'https://cdn.myanimelist.net/images/anime/7/74975l.jpg', 'https://cdn.myanimelist.net/images/anime/1314/108941l.jpg', 'https://cdn.myanimelist.net/images/anime/1887/117644l.jpg', 'https://cdn.myanimelist.net/images/anime/1441/122795l.jpg', 'https://cdn.myanimelist.net/images/anime/1500/103005l.jpg', 'https://cdn.myanimelist.net/images/anime/11/55225l.jpg', 'https://cdn.myanimelist.net/images/anime/3/50177l.jpg', 'https://cdn.myanimelist.net/images/anime/6/79597l.jpg', 'https://cdn.myanimelist.net/images/anime/8/80356l.jpg']",31
"[30, 437, 2759, 5, 31, 43, 205, 1, 1033, 164]","['Neon Genesis Evangelion', 'Perfect Blue', 'Evangelion: 1.0 You Are (Not) Alone', 'Cowboy Bebop: The Movie', 'Neon Genesis Evangelion: Death & Rebirth', 'Ghost in the Shell', 'Samurai Champloo', 'Cowboy Bebop', 'Millennium Actress', 'Princess Mononoke']","['https://cdn.myanimelist.net/images/anime/1314/108941l.jpg', 'https://cdn.myanimelist.net/images/anime/1254/134212l.jpg', 'https://cdn.myanimelist.net/images/anime/7/74975l.jpg', 'https://cdn.myanimelist.net/images/anime/1439/93480l.jpg', 'https://cdn.myanimelist.net/images/anime/1993/113122l.jpg', 'https://cdn.myanimelist.net/images/anime/10/82594l.jpg', 'https://cdn.myanimelist.net/images/anime/1375/121599l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1648/93626l.jpg', 'https://cdn.myanimelist.net/images/anime/7/75919l.jpg']",32
"[33, 205, 37521, 164, 46102, 263, 36028, 2236, 5, 467]","['Berserk', 'Samurai Champloo', 'Vinland Saga', 'Princess Mononoke', 'Odd Taxi', 'Fighting Spirit', 'Golden Kamuy', 'The Girl Who Leapt Through Time', 'Cowboy Bebop: The Movie', 'Ghost in the Shell: Stand Alone Complex']","['https://cdn.myanimelist.net/images/anime/1384/119988l.jpg', 'https://cdn.myanimelist.net/images/anime/1375/121599l.jpg', 'https://cdn.myanimelist.net/images/anime/1500/103005l.jpg', 'https://cdn.myanimelist.net/images/anime/7/75919l.jpg', 'https://cdn.myanimelist.net/images/anime/1981/113348l.jpg', 'https://cdn.myanimelist.net/images/anime/4/86334l.jpg', 'https://cdn.myanimelist.net/images/anime/1145/90880l.jpg', 'https://cdn.myanimelist.net/images/anime/1/2432l.jpg', 'https://cdn.myanimelist.net/images/anime/1439/93480l.jpg', 'https://cdn.myanimelist.net/images/anime/11/50857l.jpg']",33
"[43, 467, 1, 570, 164, 47, 5, 437, 44, 205]","['Ghost in the Shell', 'Ghost in the Shell: Stand Alone Complex', 'Cowboy Bebop', 'Jin-Roh: The Wolf Brigade', 'Princess Mononoke', 'Akira', 'Cowboy Bebop: The Movie', 'Perfect Blue', 'Samurai X: Trust and Betrayal', 'Samurai Champloo']","['https://cdn.myanimelist.net/images/anime/10/82594l.jpg', 'https://cdn.myanimelist.net/images/anime/11/50857l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1323/103343l.jpg', 'https://cdn.myanimelist.net/images/anime/7/75919l.jpg', 'https://cdn.myanimelist.net/images/anime/1408/114012l.jpg', 'https://cdn.myanimelist.net/images/anime/1439/93480l.jpg', 'https://cdn.myanimelist.net/images/anime/1254/134212l.jpg', 'https://cdn.myanimelist.net/images/anime/1656/137618l.jpg', 'https://cdn.myanimelist.net/images/anime/1375/121599l.jpg']",43
"[44, 205, 37521, 1, 121, 164, 889, 9253, 37520, 199]","['Samurai X: Trust and Betrayal', 'Samurai Champloo', 'Vinland Saga', 'Cowboy Bebop', 'Fullmetal Alchemist', 'Princess Mononoke', 'Black Lagoon', 'Steins;Gate', 'Dororo', 'Spirited Away']","['https://cdn.myanimelist.net/images/anime/1656/137618l.jpg', 'https://cdn.myanimelist.net/images/anime/1375/121599l.jpg', 'https://cdn.myanimelist.net/images/anime/1500/103005l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/10/75815l.jpg', 'https://cdn.myanimelist.net/images/anime/7/75919l.jpg', 'https://cdn.myanimelist.net/images/anime/1906/121592l.jpg', 'https://cdn.myanimelist.net/images/anime/1935/127974l.jpg', 'https://cdn.myanimelist.net/images/anime/1879/100467l.jpg', 'https://cdn.myanimelist.net/images/anime/6/79597l.jpg']",44
"[44, 37520, 20583, 50265, 37779, 37521, 392, 41025, 20507, 199]","['Samurai X: Trust and Betrayal', 'Dororo', 'Haikyu!!', 'Spy x Family', 'The Promised Neverland', 'Vinland Saga', 'Yu Yu Hakusho: Ghost Files', 'To Your Eternity', 'Noragami', 'Spirited Away']","['https://cdn.myanimelist.net/images/anime/1656/137618l.jpg', 'https://cdn.myanimelist.net/images/anime/1879/100467l.jpg', 'https://cdn.myanimelist.net/images/anime/7/76014l.jpg', 'https://cdn.myanimelist.net/images/anime/1441/122795l.jpg', 'https://cdn.myanimelist.net/images/anime/1830/118780l.jpg', 'https://cdn.myanimelist.net/images/anime/1500/103005l.jpg', 'https://cdn.myanimelist.net/images/anime/1228/111372l.jpg', 'https://cdn.myanimelist.net/images/anime/1880/118484l.jpg', 'https://cdn.myanimelist.net/images/anime/1886/128266l.jpg', 'https://cdn.myanimelist.net/images/anime/6/79597l.jpg']",45
"[1, 34104, 34148, 34161, 34176, 34177, 34209, 34213, 34102, 34257]","['Cowboy Bebop', ""Knight's & Magic"", 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'Sagrada Reset', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1472/93813l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/5/87743l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",46
"[47, 43, 1462, 1943, 1, 164, 205, 39792, 199, 5]","['Akira', 'Ghost in the Shell', 'Memories', 'Paprika', 'Cowboy Bebop', 'Princess Mononoke', 'Samurai Champloo', 'Keep Your Hands Off Eizouken!', 'Spirited Away', 'Cowboy Bebop: The Movie']","['https://cdn.myanimelist.net/images/anime/1408/114012l.jpg', 'https://cdn.myanimelist.net/images/anime/10/82594l.jpg', 'https://cdn.myanimelist.net/images/anime/9/74781l.jpg', 'https://cdn.myanimelist.net/images/anime/1929/93629l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/7/75919l.jpg', 'https://cdn.myanimelist.net/images/anime/1375/121599l.jpg', 'https://cdn.myanimelist.net/images/anime/1680/110451l.jpg', 'https://cdn.myanimelist.net/images/anime/6/79597l.jpg', 'https://cdn.myanimelist.net/images/anime/1439/93480l.jpg']",47
"[1535, 48, 31964, 34148, 34161, 34176, 34177, 34209, 34213, 34257]","['Death Note', '.hack//Sign', 'My Hero Academia', 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/1079/138100l.jpg', 'https://cdn.myanimelist.net/images/anime/1443/94665l.jpg', 'https://cdn.myanimelist.net/images/anime/10/78745l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",48
